"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"      Prescription drugs                                    ","MEAN",329.67,151.34,118.29,209.63,290.72,293.33,342.68,273.35,379.41,413.71
"      Prescription drugs                                    ","SE",13.29,17.44,12.56,31.41,24.56,23.8,38.06,22.02,25.23,24.28
"    Medical supplies                                        ","MEAN",146.31,52.66,67.36,50.49,112.62,98.27,122.35,116.09,162.66,217.63
"    Medical supplies                                        ","SE",6.95,14.26,16.43,9.24,20.17,9.88,13.79,13.63,27.02,10.85
"      Eyeglasses and contact lenses                         ","MEAN",74.32,20.21,33.6,21.98,52.01,42.46,53.14,47.37,75.95,125.7
"      Eyeglasses and contact lenses                         ","SE",2.87,5.85,8.05,4.5,17.13,4.94,5.94,5.33,8.39,5.9
"      Hearing aids                                          ","MEAN",17.73,-1.16,10.22,0.23,16.07,17.39,26.65,8.71,41.17,14.81
"      Hearing aids                                          ","SE",4.11,7.22,9.64,0.22,14.94,9.61,11.19,5.29,23.18,5.29
"      Topicals and dressings                                ","MEAN",41.23,26.87,16.51,18.33,23.88,31.91,33.81,41.56,38.27,58.71
"      Topicals and dressings                                ","SE",2.64,11.77,6.04,8.01,6.21,4.58,6.98,8.31,4.56,4.67
"      Adult diapers                                         ","MEAN",3.02,3.62,4.89,2.97,3.9,1.56,2.09,1.87,2.09,4.04
"      Adult diapers                                         ","SE",0.39,1.56,3.51,1.25,1.62,0.68,0.57,0.76,0.62,1.1
"      Medical equipment for general use                     ","MEAN",3.08,2.04,1.44,2.57,10.1,1.61,1.08,2.29,1.62,4.13
"      Medical equipment for general use                     ","SE",0.68,1.65,0.68,1.96,5.06,0.62,0.34,1.51,0.5,1.31
"      Supportive and convalescent medical equipment         ","MEAN",5.46,1.09,0.71,4.13,4.19,1.9,3.49,12.24,2.52,8.5
"      Supportive and convalescent medical equipment         ","SE",1.27,0.8,0.54,1.76,1.71,0.65,1.58,8.12,0.5,2.76
"      Rental of medical equipment                           ","MEAN",0.61,0,0,0.14,1.08,0.49,0.03,1.18,0.52,0.88
"      Rental of medical equipment                           ","SE",0.17,0,0,0.12,0.56,0.36,0.03,0.8,0.31,0.32
"      Rental of supportive, convalescent medical equipment  ","MEAN",0.86,0,0,0.13,1.41,0.93,2.07,0.87,0.51,0.86
"      Rental of supportive, convalescent medical equipment  ","SE",0.25,0,0,0.11,0.85,0.44,1.16,0.69,0.44,0.5
"  Entertainment                                             ","MEAN",2727.93,1084.92,989.82,1046.76,1285.53,1407.08,1968.69,2131.7,2548.47,4655.82
"  Entertainment                                             ","SE",70.26,87.08,90,66.64,54.35,60.14,147.21,88.76,106.53,155.58
"    Fees and admissions                                     ","MEAN",635.95,167.04,137.22,164.38,177.55,182.16,274.27,348.81,457.7,1358.48
"    Fees and admissions                                     ","SE",26.62,25.98,46.32,30.99,22.54,14.94,20.38,25.14,25.34,64.01
"      Recreation expenses, out-of-town trips                ","MEAN",18.99,4.33,2.76,4.9,6.17,7.84,10.26,10.35,17.09,37.99
"      Recreation expenses, out-of-town trips                ","SE",0.94,1.09,0.85,2.29,2.34,2.5,1.3,1.29,1.84,2.71
"      Social, recreation, health club membership            ","MEAN",155.67,52.01,61.34,22,45.64,38.33,70.64,90.78,120.45,329.18
"      Social, recreation, health club membership            ","SE",8.65,14.64,40.7,3.52,12.7,4.05,8.51,8.45,12.67,19.4
"      Fees for participant sports                           ","MEAN",104.34,25.96,2.98,60.66,26.2,37.12,41.27,49.69,57.55,219.74
"      Fees for participant sports                           ","SE",17.46,9.62,3,41.05,9.76,10.18,15.17,12.95,14.23,48.21
"      Participant sports, out-of-town trips                 ","MEAN",20.93,1.72,0.18,3.02,4.14,3.15,7.66,9.89,8.83,51.38
"      Participant sports, out-of-town trips                 ","SE",1.96,0.66,0.13,2.43,2,1.51,2.5,3.25,1.68,5.54
"      Movie, theater, amusement parks, and other (thru      ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Play, theater, opera, concert (new UCC Q20132)        ","MEAN",45.58,6.64,7.82,8.36,19.46,16.28,26.74,31.7,37.6,91.25
"      Play, theater, opera, concert (new UCC Q20132)        ","SE",2.54,1.72,3.09,2.86,6.31,3.45,4.82,6.66,5.35,5.8
"      Movies, parks, museums (new UCC Q20132)               ","MEAN",58.71,21.81,15.49,17.89,19.36,22.03,30.83,46.14,56.1,110.79
"      Movies, parks, museums (new UCC Q20132)               ","SE",2.71,3.93,2.74,2.55,2.79,2.5,3.8,4.38,3.87,5.92
"      Movie, other admissions, out-of-town trips            ","MEAN",52.39,7.44,13.68,6.22,12.68,22,28.17,32.15,40.51,108.81
"      Movie, other admissions, out-of-town trips            ","SE",3.63,2.18,8.42,3.03,4.3,3.87,5.15,4.6,4.32,9.51
"      Admission to sporting events                          ","MEAN",43.31,13.2,9.25,23.2,15.82,5.56,14.19,24.06,28.51,94.7
"      Admission to sporting events                          ","SE",3.19,6.15,3.88,15.08,4.5,1.36,5.17,6.8,4.99,7.74
"      Admission to sports events, out-of-town trips         ","MEAN",17.45,2.48,4.56,2.07,4.23,7.33,9.38,10.7,13.5,36.25
"      Admission to sports events, out-of-town trips         ","SE",1.21,0.73,2.81,1.01,1.43,1.29,1.72,1.53,1.44,3.17
"      Fees for recreational lessons                         ","MEAN",99.58,27.13,16.4,11.17,17.68,14.68,24.87,33,60.48,240.38
"      Fees for recreational lessons                         ","SE",6.02,13.76,14.1,3.3,4.94,4.93,5.14,6.48,8.81,16.77
"      Other entertainment services, out-of-town trips       ","MEAN",18.99,4.33,2.76,4.9,6.17,7.84,10.26,10.35,17.09,37.99
"      Other entertainment services, out-of-town trips       ","SE",0.94,1.09,0.85,2.29,2.34,2.5,1.3,1.29,1.84,2.71
"    Audio and visual equipment and services                 ","MEAN",1051.04,577.36,556.6,579.54,717.75,771.14,967.28,965.66,1160.77,1426.27
"    Audio and visual equipment and services                 ","SE",24.11,33.66,29.43,22.29,23.19,25.26,53.08,33.77,59.97,44.41
"      Radios (thru Q20131)                                  ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Stereos, radios, speakers, and sound components       ","MEAN",11.2,2.01,3.44,2.18,1.49,4.17,4.92,13.98,14.83,19.26
"      Stereos, radios, speakers, and sound components       ","SE",0.96,1.08,1.62,0.62,0.57,0.92,1.31,3.98,4.32,2.29
"      Phonographs                                           ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Televisions                                           ","MEAN",87.29,64.18,51.79,30.22,49.41,54.18,60.35,87.87,85.16,134.14
"      Televisions                                           ","SE",4.44,26.77,10.75,7.91,10.26,9.2,7.05,16.64,8.71,10.21
"      Tape recorders and players (thru Q20124)              ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Cable and satellite television services               ","MEAN",723.3,416.71,409.4,478.39,582.23,600.38,672.18,696,769.44,926.64
"      Cable and satellite television services               ","SE",10.61,30.12,26.27,19.58,18.82,17.18,19.26,17.88,14.3,12.99
"      Miscellaneous sound equipment                         ","MEAN",11.71,0,0,1.85,6.68,1.3,10.99,6.13,0.19,26.72
"      Miscellaneous sound equipment                         ","SE",9.52,0,0,1.9,6.7,2.29,6.46,4.56,0.2,27.8
"      Miscellaneous video equipment                         ","MEAN",6.59,1.62,12.74,1.9,1.56,1.38,1.87,4.43,11.16,10.03
"      Miscellaneous video equipment                         ","SE",1.15,1.65,7.52,1.91,1.08,0.87,1.18,3.23,4.88,3.14
"      Satellite radio service                               ","MEAN",14.75,5.97,3.2,7.62,6.75,9.53,12.55,11.17,19.05,21.97
"      Satellite radio service                               ","SE",1.08,1.9,1.49,2.33,2.07,2.51,2.65,1.84,3.12,2.1
"      Sound equipment accessories                           ","MEAN",18.82,12.37,6.64,5.26,3.43,2.77,7.3,7.01,62.96,18.85
"      Sound equipment accessories                           ","SE",7.58,9.53,4.55,4.37,2.33,0.88,5.55,2.33,48.39,5.21
"      Online gaming services                                ","MEAN",2.93,1.4,3.14,0.96,1.85,1.64,2.15,2.07,3.4,4.45
"      Online gaming services                                ","SE",0.38,0.75,1.11,0.47,0.74,0.45,0.75,0.95,0.82,0.79
"      VCR''s and video disc players                         ","MEAN",6.27,1.17,2.12,2.09,5.22,4.06,4.83,5.71,7.36,9.44
"      VCR''s and video disc players                         ","SE",0.59,0.59,1,0.95,3.91,1.46,1.1,1.22,2.18,1.22
"      Digital media players and recorders                   ","MEAN",0.78,0,0,0,0,1.5,0,0,1.13,1.24
"      Digital media players and recorders                   ","SE",0.39,0,0,0,0,1.51,0,0,1.13,0.88
"      Video cassettes, tapes, and discs                     ","MEAN",25.94,16.82,2.22,7.98,10.33,13.97,38.39,19.3,28.81,35.97
"      Video cassettes, tapes, and discs                     ","SE",2.11,10.52,1.81,3.27,3.81,3.95,11.87,5.64,6.5,4.16
"      Video game software                                   ","MEAN",12.14,7.59,8.43,4.35,5.1,9.23,10.23,9.85,12.62,18.14
"      Video game software                                   ","SE",0.91,2.49,2.35,1.09,1.31,1.76,1.62,2.38,1.94,1.73
"      Video game hardware and accessories                   ","MEAN",47.81,12.68,23.92,7.74,6.94,20.02,83.41,38.81,71.82,59.28
"      Video game hardware and accessories                   ","SE",8.77,7.02,13.25,4.59,4.79,7.97,44.76,13.08,31.4,14.97
"      Streaming, downloading video                          ","MEAN",17.8,8.27,9.12,7.38,7.63,9.05,10.29,14.19,18.02,30.49
"      Streaming, downloading video                          ","SE",0.7,1.35,2.01,1.47,1.26,0.94,1.21,1.53,1.8,1.13
"      Applications, games, ringtones for handheld devices   ","MEAN",1.99,0.64,0.45,1.25,3.16,0.99,1.5,1.29,1.1,3.34
"      Applications, games, ringtones for handheld devices   ","SE",0.27,0.46,0.26,0.57,1.99,0.33,0.56,0.35,0.21,0.52
"      Repair of tv, radio, and sound equipment              ","MEAN",2.52,0.21,1.09,0.08,0.44,1.39,4.86,1.64,2.73,3.72
"      Repair of tv, radio, and sound equipment              ","SE",0.55,0.17,0.77,0.08,0.28,0.64,4.04,0.74,0.82,0.93
"      Rental of televisions                                 ","MEAN",0.58,0,0,1.44,1.69,2.3,0.45,0.2,0.28,0
"      Rental of televisions                                 ","SE",0.25,0,0,1.08,1.27,1.77,0.34,0.2,0.22,0
"      Personal digital audio players                        ","MEAN",3.03,2.42,1.35,1.27,1.74,1.85,1.22,3.79,2.02,5.13
"      Personal digital audio players                        ","SE",0.35,1.64,1.08,0.76,1.46,0.94,0.96,1.87,0.77,0.87
"      Sound components and component systems (thru Q20131)  ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Satellite dishes                                      ","MEAN",1.15,0.15,0.12,0.15,0.79,0.52,0.38,0.72,1.09,2.29
"      Satellite dishes                                      ","SE",0.29,0.15,0.11,0.12,0.62,0.37,0.31,0.58,0.58,0.7
"      CDs, records, audio tapes                             ","MEAN",7.97,2.04,1.82,3.02,1.78,2.63,5.22,6.45,5.3,16
"      CDs, records, audio tapes                             ","SE",0.49,0.91,0.41,0.64,0.44,0.85,1.16,1.29,0.64,1.22
"      Streaming, downloading audio                          ","MEAN",3.61,2.88,0.61,1.89,1.26,1.25,1.8,1.64,3.4,6.88
"      Streaming, downloading audio                          ","SE",0.3,1.12,0.29,1.32,0.39,0.4,0.41,0.36,0.65,0.71
"      Rental of VCR, radio, and sound equipment             ","MEAN",0.57,0,0.11,0,0.98,3.31,0.67,0,0,0.14
"      Rental of VCR, radio, and sound equipment             ","SE",0.34,0,0.11,0,0.88,2.68,0.39,0,0,0.09
"      Musical instruments and accessories                   ","MEAN",17.93,1.21,4.93,4.16,5.49,4.17,14.68,12.74,15.01,35.47
"      Musical instruments and accessories                   ","SE",2.94,0.52,2.66,1.61,2.3,1.27,5.31,3.26,5.19,8.89
"      Rental and repair of musical instruments              ","MEAN",1.51,0,0,0.18,0.94,0.66,0.57,2.34,0.64,3.01
"      Rental and repair of musical instruments              ","SE",0.3,0,0,0.18,0.46,0.32,0.31,1.54,0.27,0.69
"      Rental of video cassettes, tapes, films, and discs    ","MEAN",21.5,15.68,8.76,8.16,10.56,18.41,14.47,16.56,22.23,31.69
"      Rental of video cassettes, tapes, films, and discs    ","SE",1.4,6.32,4.43,1.76,3.38,4.71,2.7,3.05,2.36,2.51
"      Rental of video hardware/accessories                  ","MEAN",0.05,0.61,0,0,0,0,0.03,0.22,0,0
"      Rental of video hardware/accessories                  ","SE",0.04,0.6,0,0,0,0,0.03,0.23,0,0
"      Rental of video software                              ","MEAN",0.67,0.74,0.17,0.02,0.3,0.34,0.58,0.29,0.63,1.17
"      Rental of video software                              ","SE",0.1,0.62,0.08,0.02,0.13,0.1,0.21,0.13,0.28,0.21
"      Installation of televisions                           ","MEAN",0.49,0,1.04,0,0,0.09,1.38,0.49,0.41,0.59
"      Installation of televisions                           ","SE",0.18,0,1.03,0,0,0.09,1.36,0.38,0.22,0.21
"      Installation of satellite television equipment        ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Installation of sound systems                         ","MEAN",0.08,0,0,0,0,0.04,0,0.75,0,0.04
"      Installation of sound systems                         ","SE",0.05,0,0,0,0,0.04,0,0.56,0,0.03
"      Installation of other video equipment or sound systems","MEAN",0.06,0,0,0,0,0,0,0,0,0.19
"      Installation of other video equipment or sound systems","SE",0.04,0,0,0,0,0,0,0,0,0.12
"    Pets, toys, hobbies, and playground equipment           ","MEAN",633.94,259.41,230.6,249.46,334.4,319.45,498.6,524.01,602.14,1034.21
"    Pets, toys, hobbies, and playground equipment           ","SE",29.33,50.67,62.29,37.58,41.94,30.51,70.39,46.7,52.71,59.88
"      Pets                                                  ","MEAN",507.14,178.13,201.29,187.17,278.85,272.01,407.73,374.24,521.16,817.77
"      Pets                                                  ","SE",30.4,40.66,60.74,30.32,37.72,30.17,64.45,37.8,53.64,64.44
"        Pet food                                            ","MEAN",189.91,85.84,92.03,106.49,117.65,126.55,173.57,159.36,202.4,266.66
"        Pet food                                            ","SE",11.67,25.69,19.7,28.16,22.7,17.34,50.42,17.85,16.52,20.52
"        Pet purchase, supplies, medicine                    ","MEAN",133.83,55.37,48.52,52.41,61.66,85.8,91.35,100.38,134.16,223.97
"        Pet purchase, supplies, medicine                    ","SE",10.91,7.85,12.25,8.22,7.51,13.14,6.28,10.59,12.15,22.83
"        Pet services                                        ","MEAN",44.68,12.08,10.36,13.66,13.2,20.13,21.66,31.67,35,88.97
"        Pet services                                        ","SE",2.72,2.43,5.4,2.59,3.31,6.17,3.98,6.05,4.8,5.53
"        Vet services                                        ","MEAN",138.72,24.83,50.38,14.61,86.34,39.52,121.15,82.83,149.59,238.17
"        Vet services                                        ","SE",18.06,25.37,50.88,9.41,37.71,18.94,29.37,30,44.73,42.56
"      Toys, hobbies, and playground equipment               ","MEAN",126.8,81.28,29.31,62.29,55.55,47.44,90.87,149.77,80.98,216.44
"      Toys, hobbies, and playground equipment               ","SE",7.37,27.28,11.32,20.4,15.15,8.56,25.38,35.99,8.85,15.4
"        Toys, games, arts and crafts, and tricycles         ","MEAN",120.62,75.61,28.9,62.11,54.46,44.53,87.59,143.67,77.81,204
"        Toys, games, arts and crafts, and tricycles         ","SE",7.34,26.77,11.33,20.34,15.12,8.6,25.42,35.96,8.88,15.96
"        Stamp and coin collecting                           ","MEAN",2.62,2.65,0.21,0.09,1.09,0.82,1.45,2.7,1.42,5.18
"        Stamp and coin collecting                           ","SE",0.7,2.54,0.16,0.04,0.51,0.6,0.71,1.87,0.53,2.01
"        Playground equipment                                ","MEAN",3.55,3.02,0.2,0.09,0,2.09,1.83,3.4,1.75,7.25
"        Playground equipment                                ","SE",0.96,2.65,0.21,0.07,0,1.23,1.55,2.05,0.56,2.77
"    Other entertainment supplies, equipment, and services   ","MEAN",407,81.12,65.42,53.38,55.83,134.33,228.54,293.22,327.85,836.87
"    Other entertainment supplies, equipment, and services   ","SE",36.2,16.56,23.87,14.16,18.94,42.43,117.04,71.21,79.77,102.47
"      Unmotored recreational vehicles                       ","MEAN",60.19,1.23,0,3.1,2.39,0.53,112.13,10.72,135.98,83.77
"      Unmotored recreational vehicles                       ","SE",17.81,1.25,0,3.15,2.42,0.54,113.53,5.78,72.24,26.15
"        Boat without motor and boat trailers                ","MEAN",5.36,1.23,0,0,2.39,0.53,1.14,1.63,3.79,12.88
"        Boat without motor and boat trailers                ","SE",3.29,1.25,0,0,2.42,0.54,1.1,1.65,3.13,9.77
"        Trailer and other attachable campers                ","MEAN",54.82,0,0,3.1,0,0,110.99,9.09,132.19,70.89
"        Trailer and other attachable campers                ","SE",18.03,0,0,3.15,0,0,113.49,5.53,72.49,27.4
"      Motorized recreational vehicles                       ","MEAN",104.55,0,9.67,0,3.44,11.73,32.63,120.63,12.63,261.08
"      Motorized recreational vehicles                       ","SE",28.86,0,10.29,0,3.41,8.23,25.1,57.95,9.68,81.33
"        Purchase of motorized camper                        ","MEAN",33.24,0,0,0,0,0,0,30.81,0,91.82
"        Purchase of motorized camper                        ","SE",21.96,0,0,0,0,0,0,31.09,0,65.04
"        Purchase of other vehicle                           ","MEAN",21.59,0,0,0,0,11.73,6.31,49.86,12.17,40.5
"        Purchase of other vehicle                           ","SE",6.15,0,0,0,0,8.23,6.38,31.12,9.63,15.36
"        Purchase of boat with motor                         ","MEAN",49.73,0,9.67,0,3.44,0,26.32,39.95,0.47,128.76
"        Purchase of boat with motor                         ","SE",12.85,0,10.29,0,3.41,0,19.38,33.81,0.57,35.11
"      Rental of recreational vehicles                       ","MEAN",15.21,18.75,1.16,2.61,1.25,7.26,5.05,5.67,7.65,33.22
"      Rental of recreational vehicles                       ","SE",2.09,12.92,1.29,2.12,0.92,4.45,1.84,2.53,2.08,5.64
"        Rental noncamper trailer                            ","MEAN",0.36,0,0,0,0.06,0,0.23,0.55,0.98,0.43
"        Rental noncamper trailer                            ","SE",0.17,0,0,0,0.07,0,0.23,0.37,0.95,0.28
"        Boat and trailer rental out-of-town trips           ","MEAN",1.22,0,0,0.04,0.07,0.29,1.06,0.76,0.19,2.92
"        Boat and trailer rental out-of-town trips           ","SE",0.61,0,0,0.04,0.07,0.29,0.95,0.7,0.2,1.76
"        Rental of campers on out-of-town trips              ","MEAN",0.14,0,0,0,0,0,0,0,0,0.43
"        Rental of campers on out-of-town trips              ","SE",0.12,0,0,0,0,0,0,0,0,0.36
"        Rental of other vehicles on out-of-town trips       ","MEAN",9.41,12.95,1.16,2.57,1.12,2.09,3.67,4.19,4.87,20.48
"        Rental of other vehicles on out-of-town trips       ","SE",1.03,7.85,1.29,2.12,0.92,0.97,1.55,2.35,1.57,2.35
"        Rental of boat                                      ","MEAN",0.56,0,0,0,0,0.07,0.1,0.06,0.82,1.28
"        Rental of boat                                      ","SE",0.25,0,0,0,0,0.07,0.07,0.05,0.5,0.66
"        Rental of motorized camper                          ","MEAN",1.06,5.69,0,0,0,0,0,0,0,2.36
"        Rental of motorized camper                          ","SE",0.56,5.83,0,0,0,0,0,0,0,1.46
"        Rental of other RV''s                               ","MEAN",2.46,0.11,0,0,0,4.81,0,0.12,0.79,5.31
"        Rental of other RV''s                               ","SE",1.48,0.11,0,0,0,4.36,0,0.1,0.42,4.14
"      Outboard motors                                       ","MEAN",0.91,0,0,0,3.84,0,0.59,2.35,1.59,0.49
"      Outboard motors                                       ","SE",0.38,0,0,0,3.83,0,0.71,1.73,1.36,0.31
"      Docking and landing fees                              ","MEAN",6.04,0.07,0,0,0.12,2.36,0.63,9.07,1.9,13.9
"      Docking and landing fees                              ","SE",1.57,0.06,0,0,0.11,2.12,0.58,8.43,1.07,4.1
"      Sports, recreation and exercise equipment             ","MEAN",142.99,32.13,22.48,35.83,18.53,92.34,46.86,98.17,120.89,277.56
"      Sports, recreation and exercise equipment             ","SE",10.75,11.04,10.23,12.84,4.13,41.06,8.33,26.11,29.03,23.08
"        Athletic gear, game tables, and exercise equipment  ","MEAN",48.86,12.02,0.25,0.93,1.28,6.74,16.52,41.31,41.13,103.34
"        Athletic gear, game tables, and exercise equipment  ","SE",8.39,9.14,0.25,0.8,0.95,2.74,6.83,21.26,27.3,19.36
"        Bicycles                                            ","MEAN",20.01,8.02,5.23,8.81,7.24,5.12,7.38,24.47,11.41,39.85
"        Bicycles                                            ","SE",1.94,3.24,2.79,3.48,2.66,1.21,2.56,8.13,2.59,5.45
"        Camping equipment                                   ","MEAN",14.31,1.94,6.95,4.77,2.99,3.24,5.84,7.31,26.66,22.83
"        Camping equipment                                   ","SE",2.92,2.16,7.04,3.38,2.23,1.58,2.14,3.07,12.51,5.58
"        Hunting and fishing equipment                       ","MEAN",34.89,4.41,6.9,15.18,3.97,74,8.57,8.22,19.89,57.96
"        Hunting and fishing equipment                       ","SE",7.92,3.1,6.52,11.04,2.3,41.26,4.68,2.7,7.15,15.63
"        Winter sports equipment                             ","MEAN",4.43,4.37,1.05,0.54,1.65,1.94,1.34,1.19,3.19,9.37
"        Winter sports equipment                             ","SE",0.58,3.25,0.63,0.42,1.29,1.09,0.88,0.66,1.32,1.39
"        Water sports equipment                              ","MEAN",4.76,0.26,0.44,0.7,0.2,0.4,1.78,0.98,1.46,12.46
"        Water sports equipment                              ","SE",1.34,0.15,0.38,0.48,0.2,0.28,0.52,0.38,0.62,3.93
"        Other sports equipment                              ","MEAN",7.89,1.1,0.56,4.87,1.03,0.83,4.08,14.11,9.03,13.22
"        Other sports equipment                              ","SE",1.33,0.79,0.54,3.68,0.48,0.48,0.87,10.52,2.25,2.66
"        Global positioning system devices                   ","MEAN",5.9,0,0,0,0,0,0,0,6.46,14.19
"        Global positioning system devices                   ","SE",2.96,0,0,0,0,0,0,0,4.87,8.19
"        Rental and repair of miscellaneous sports equipment ","MEAN",1.93,0,1.11,0.02,0.17,0.07,1.35,0.59,1.66,4.33
"        Rental and repair of miscellaneous sports equipment ","SE",0.38,0,0.9,0.02,0.13,0.07,0.97,0.33,0.86,0.98
"      Photographic equipment, supplies and services         ","MEAN",43.18,8.49,12.48,9.4,22.96,16.74,12.98,25.78,29.41,91.49
"      Photographic equipment, supplies and services         ","SE",3.89,3.15,5.91,5.39,15.66,3.3,3.01,5.31,4.7,10.64
"        Film                                                ","MEAN",0.49,0.45,0.09,0.25,0.77,0.34,0.48,0.38,0.83,0.49
"        Film                                                ","SE",0.1,0.37,0.07,0.11,0.49,0.14,0.26,0.16,0.35,0.16
"        Other photographic supplies                         ","MEAN",0.08,0,0,0,0,0.72,0,0,0,0
"        Other photographic supplies                         ","SE",0.08,0,0,0,0,0.72,0,0,0,0
"        Photo processing                                    ","MEAN",4.9,1.59,0.96,1.75,1.76,1.81,2.15,3.78,4.47,9.49
"        Photo processing                                    ","SE",0.44,0.56,0.55,0.96,0.55,0.56,0.54,0.87,0.89,1.08
"        Repair and rental of photographic equipment         ","MEAN",0.39,0,0.02,0,0,0.73,0,0.72,0.26,0.63
"        Repair and rental of photographic equipment         ","SE",0.12,0,0.02,0,0,0.54,0,0.71,0.23,0.27
"        Photographic equipment                              ","MEAN",19.14,5.45,6.21,0.66,19.61,6.03,5.67,8.79,14.15,39.83
"        Photographic equipment                              ","SE",2.13,2.95,3.31,0.36,15.85,2.21,2.05,2.49,3.44,5.71
"        Photographer fees                                   ","MEAN",18.16,1.01,5.19,6.75,0.83,7.11,4.68,12.11,9.7,41.06
"        Photographer fees                                   ","SE",2.81,0.72,5.07,4.5,0.41,2.29,1.85,4.8,2.6,7.58
"      Fireworks                                             ","MEAN",5.13,0,0,0,0,0.79,13.46,9.58,2.05,7.17
"      Fireworks                                             ","SE",1.88,0,0,0,0,0.77,12.45,6.87,1.88,3.6
"      Souvenirs                                             ","MEAN",1.01,0,13.05,0,0,0.22,0.57,0.47,0.47,1.12
"      Souvenirs                                             ","SE",0.48,0,14.02,0,0,0.17,0.57,0.47,0.39,0.51
"      Visual goods                                          ","MEAN",1.04,0,0,0.01,0.09,0,0.32,1.27,0.29,2.43
"      Visual goods                                          ","SE",0.49,0,0,0.01,0.08,0,0.21,1.21,0.25,1.35
"      Pinball, electronic video games                       ","MEAN",1.92,0,0,1.1,0,0.42,0.69,5.53,0.25,3.46
"      Pinball, electronic video games                       ","SE",0.53,0,0,0.76,0,0.42,0.69,4.29,0.24,1.11
"      Live entertainment for catered affairs                ","MEAN",9.13,2.7,3.79,0.97,3.22,0.77,0.14,0.78,4.21,23.48
"      Live entertainment for catered affairs                ","SE",3.39,1.59,2.77,0.53,2.57,0.71,0.1,0.47,2.05,9.99
"      Rental of party supplies for catered affairs          ","MEAN",15.7,17.76,2.78,0.36,0,1.17,2.49,3.19,10.51,37.72
"      Rental of party supplies for catered affairs          ","SE",4.3,14.27,2.54,0.39,0,0.56,1,1.47,5.64,12.27
"  Personal care products and services                       ","MEAN",645.11,294.57,237.64,293.21,344.27,410.58,482.11,527.75,569.53,1047.85
"  Personal care products and services                       ","SE",12.03,39.84,20.27,24.93,22.98,23.71,42.37,30.81,22.28,25.01
"    Personal care products                                  ","MEAN",357.1,199.65,148.8,186.12,196.98,227.72,292.61,313.16,312.98,545.36
"    Personal care products                                  ","SE",11.15,37.75,18.95,24.28,23.16,21.44,41.41,29.97,21.1,23.38
"      Hair care products                                    ","MEAN",69.53,33.81,37.28,54.03,26.96,44.63,39.01,62.47,69.48,106.31
"      Hair care products                                    ","SE",2.94,9.99,11.39,11.69,4.27,8.04,6.3,8.6,8.57,6.88
"      Nonelectric articles for the hair                     ","MEAN",9.03,7.72,2.68,2.33,5.44,5.91,4.25,5.34,9.62,14.73
"      Nonelectric articles for the hair                     ","SE",0.78,3.14,1.13,1.11,1.67,1.56,1.62,1.56,1.97,1.97
"      Wigs and hairpieces                                   ","MEAN",3.28,1.01,1.23,3.44,1.88,3.67,4.71,1.99,3.58,3.73
"      Wigs and hairpieces                                   ","SE",0.56,0.66,0.64,1.52,0.89,1.14,1.54,0.66,1.14,1.52
"      Oral hygiene products, articles                       ","MEAN",36.53,19.81,23.43,18.37,16.91,22.94,28.51,33.89,34.17,54.96
"      Oral hygiene products, articles                       ","SE",1.57,3.15,5.59,3.81,3.12,2.51,4.36,4.34,3.65,2.98
"      Shaving needs                                         ","MEAN",18.69,5.17,3.53,3.52,9.39,10.12,9.75,20.06,19.89,30.52
"      Shaving needs                                         ","SE",1.61,2.93,1.64,1.84,3.28,3.16,1.92,5.18,3.48,3.64
"      Cosmetics, perfume, bath preparations                 ","MEAN",168.82,106.11,48.77,69.09,109.81,109.59,171.24,134.01,129.25,259.75
"      Cosmetics, perfume, bath preparations                 ","SE",8.07,30.41,9.59,16.32,18.67,16.37,33.96,21.84,12.26,16.91
"      Deodorants, feminine hygiene, miscellaneous personal  ","MEAN",41.67,22.11,31.89,28.74,22.47,26.9,28.1,39.74,40.4,60.5
"      Deodorants, feminine hygiene, miscellaneous personal  ","SE",1.67,4.63,8.2,7.52,4.01,4.64,4.32,4.99,5.29,3.67
"      Electric personal care appliances                     ","MEAN",9.54,3.91,0,6.6,4.11,3.96,7.05,15.66,6.58,14.86
"      Electric personal care appliances                     ","SE",1.87,2.82,0,4.05,3.16,2.13,3.59,6.96,2.65,4.94
"    Personal care services                                  ","MEAN",288,94.92,88.84,107.1,147.3,182.86,189.51,214.59,256.55,502.5
"    Personal care services                                  ","SE",5.43,10.94,8.86,8.98,9.16,8.46,7.87,6.57,6.78,9.31
"      Personal care services                                ","MEAN",288,94.92,88.84,107.1,147.3,182.86,189.51,214.59,256.55,502.5
"      Personal care services                                ","SE",5.43,10.94,8.86,8.98,9.16,8.46,7.87,6.57,6.78,9.31
"      Repair of personal care appliances                    ","MEAN",0,0,0,0,0,0,0,0,0,0
"  Reading                                                   ","MEAN",103.02,36.95,31.74,41.77,75.37,62.43,80.23,78.41,91.63,171.02
